"TOWNCODE","PERIOD","AGE","CASE","POP"
"10010010","1995-1999","40-44",7,6174
"10010010","1995-1999","45-49",58,137046
"10010010","1995-1999","50-54",23,36958
"10010010","1995-1999","55-59",33,49314
"10010010","1995-1999","60-64",6,8989
"10010010","1995-1999","65-69",16,16887
"10010010","1995-1999","70-74",45,35827
"10010010","1995-1999","75-79",16,9032
"10010010","1995-1999","80-84",85,35776
"10010010","2000-2004","40-44",22,39454
"10010010","2000-2004","45-49",46,83259
"10010010","2000-2004","50-54",45,56853
"10010010","2000-2004","55-59",20,19027
"10010010","2000-2004","60-64",30,30796
"10010010","2000-2004","65-69",68,52952
"10010010","2000-2004","70-74",217,136811
"10010010","2000-2004","75-79",68,35027
"10010010","2000-2004","80-84",63,28463
"10010010","2005-2009","40-44",10,38717
"10010010","2005-2009","45-49",37,56693
"10010010","2005-2009","50-54",195,251188
"10010010","2005-2009","55-59",16,23498
"10010010","2005-2009","60-64",12,9508
"10010010","2005-2009","65-69",97,68675
"10010010","2005-2009","70-74",60,36750
"10010010","2005-2009","75-79",93,51667
"10010010","2005-2009","80-84",114,36088
"10010010","2010-2014","40-44",9,16160
"10010010","2010-2014","45-49",15,24811
"10010010","2010-2014","50-54",176,264092
"10010010","2010-2014","55-59",69,50811
"10010010","2010-2014","60-64",59,47362
"10010010","2010-2014","65-69",57,30342
"10010010","2010-2014","70-74",810,428093
"10010010","2010-2014","75-79",38,17042
"10010010","2010-2014","80-84",54,18488
"10010010","2015-2019","40-44",11,41638
"10010010","2015-2019","45-49",27,69559
"10010010","2015-2019","50-54",44,57351
"10010010","2015-2019","55-59",60,43000
"10010010","2015-2019","60-64",18,12961
"10010010","2015-2019","65-69",27,16167
"10010010","2015-2019","70-74",18,10637
"10010010","2015-2019","75-79",336,126844
"10010010","2015-2019","80-84",181,65281
"10010020","1995-1999","40-44",20,58213
"10010020","1995-1999","45-49",14,21447
"10010020","1995-1999","50-54",4,8205
"10010020","1995-1999","55-59",24,33492
"10010020","1995-1999","60-64",22,14944
"10010020","1995-1999","65-69",33,30717
"10010020","1995-1999","70-74",24,22742
"10010020","1995-1999","75-79",30,16102
"10010020","1995-1999","80-84",346,125649
"10010020","2000-2004","40-44",3,16068
"10010020","2000-2004","45-49",47,60053
"10010020","2000-2004","50-54",32,48177
"10010020","2000-2004","55-59",43,43222
"10010020","2000-2004","60-64",42,35248
"10010020","2000-2004","65-69",121,88530
"10010020","2000-2004","70-74",17,9311
"10010020","2000-2004","75-79",32,16223
"10010020","2000-2004","80-84",59,25855
"10010020","2005-2009","40-44",23,42387
"10010020","2005-2009","45-49",18,39729
"10010020","2005-2009","50-54",80,99967
"10010020","2005-2009","55-59",38,28566
"10010020","2005-2009","60-64",104,100690
"10010020","2005-2009","65-69",56,37085
"10010020","2005-2009","70-74",91,47923
"10010020","2005-2009","75-79",134,77703
"10010020","2005-2009","80-84",80,28210
"10010020","2010-2014","40-44",8,23528
"10010020","2010-2014","45-49",16,25105
"10010020","2010-2014","50-54",14,19026
"10010020","2010-2014","55-59",35,26057
"10010020","2010-2014","60-64",30,20913
"10010020","2010-2014","65-69",33,31618
"10010020","2010-2014","70-74",98,51725
"10010020","2010-2014","75-79",7,6356
"10010020","2010-2014","80-84",300,112438
"10010020","2015-2019","40-44",32,85425
"10010020","2015-2019","45-49",30,55242
"10010020","2015-2019","50-54",5,11273
"10010020","2015-2019","55-59",27,20965
"10010020","2015-2019","60-64",12,7056
"10010020","2015-2019","65-69",173,89131
"10010020","2015-2019","70-74",173,82901
"10010020","2015-2019","75-79",162,69669
"10010020","2015-2019","80-84",694,232729
"10010030","1995-1999","40-44",6,15810
"10010030","1995-1999","45-49",27,43500
"10010030","1995-1999","50-54",11,17251
"10010030","1995-1999","55-59",88,101117
"10010030","1995-1999","60-64",186,204931
"10010030","1995-1999","65-69",223,187625
"10010030","1995-1999","70-74",27,22910
"10010030","1995-1999","75-79",51,24138
"10010030","1995-1999","80-84",104,51180
"10010030","2000-2004","40-44",35,60973
"10010030","2000-2004","45-49",19,27409
"10010030","2000-2004","50-54",9,12440
"10010030","2000-2004","55-59",38,39780
"10010030","2000-2004","60-64",42,30028
"10010030","2000-2004","65-69",25,24277
"10010030","2000-2004","70-74",85,51764
"10010030","2000-2004","75-79",65,29634
"10010030","2000-2004","80-84",120,43987
"10010030","2005-2009","40-44",17,40433
"10010030","2005-2009","45-49",6,8910
"10010030","2005-2009","50-54",21,16846
"10010030","2005-2009","55-59",64,56966
"10010030","2005-2009","60-64",87,64121
"10010030","2005-2009","65-69",179,120389
"10010030","2005-2009","70-74",12,7724
"10010030","2005-2009","75-79",25,15438
"10010030","2005-2009","80-84",66,32960
"10010030","2010-2014","40-44",5,6517
"10010030","2010-2014","45-49",37,52703
"10010030","2010-2014","50-54",3,8412
"10010030","2010-2014","55-59",18,16772
"10010030","2010-2014","60-64",125,88423
"10010030","2010-2014","65-69",57,35103
"10010030","2010-2014","70-74",18,10493
"10010030","2010-2014","75-79",169,65338
"10010030","2010-2014","80-84",149,57004
"10010030","2015-2019","40-44",19,43932
"10010030","2015-2019","45-49",50,62828
"10010030","2015-2019","50-54",39,35926
"10010030","2015-2019","55-59",17,17567
"10010030","2015-2019","60-64",152,101421
"10010030","2015-2019","65-69",45,26243
"10010030","2015-2019","70-74",120,55485
"10010030","2015-2019","75-79",20,5171
"10010030","2015-2019","80-84",535,175995
"10010040","1995-1999","40-44",6,13129
"10010040","1995-1999","45-49",13,19399
"10010040","1995-1999","50-54",6,7205
"10010040","1995-1999","55-59",14,19309
"10010040","1995-1999","60-64",18,16987
"10010040","1995-1999","65-69",34,41347
"10010040","1995-1999","70-74",93,56585
"10010040","1995-1999","75-79",177,73512
"10010040","1995-1999","80-84",98,32686
"10010040","2000-2004","40-44",18,54735
"10010040","2000-2004","45-49",8,13875
"10010040","2000-2004","50-54",43,63493
"10010040","2000-2004","55-59",13,13747
"10010040","2000-2004","60-64",26,30538
"10010040","2000-2004","65-69",32,23945
"10010040","2000-2004","70-74",65,36933
"10010040","2000-2004","75-79",98,50742
"10010040","2000-2004","80-84",56,15290
"10010040","2005-2009","40-44",38,138516
"10010040","2005-2009","45-49",20,39741
"10010040","2005-2009","50-54",4,16416
"10010040","2005-2009","55-59",54,49163
"10010040","2005-2009","60-64",27,22773
"10010040","2005-2009","65-69",428,312130
"10010040","2005-2009","70-74",347,212287
"10010040","2005-2009","75-79",130,61657
"10010040","2005-2009","80-84",74,30981
"10010040","2010-2014","40-44",5,9805
"10010040","2010-2014","45-49",7,18880
"10010040","2010-2014","50-54",25,54229
"10010040","2010-2014","55-59",15,14936
"10010040","2010-2014","60-64",12,10147
"10010040","2010-2014","65-69",168,127035
"10010040","2010-2014","70-74",66,33579
"10010040","2010-2014","75-79",78,35610
"10010040","2010-2014","80-84",405,141244
"10010040","2015-2019","40-44",26,94121
"10010040","2015-2019","45-49",8,17929
"10010040","2015-2019","50-54",28,66117
"10010040","2015-2019","55-59",59,82394
"10010040","2015-2019","60-64",47,43397
"10010040","2015-2019","65-69",47,30086
"10010040","2015-2019","70-74",77,45820
"10010040","2015-2019","75-79",354,149433
"10010040","2015-2019","80-84",23,5209
"10010050","1995-1999","40-44",4,7125
"10010050","1995-1999","45-49",7,20583
"10010050","1995-1999","50-54",37,71159
"10010050","1995-1999","55-59",23,21436
"10010050","1995-1999","60-64",24,25530
"10010050","1995-1999","65-69",28,22162
"10010050","1995-1999","70-74",79,46736
"10010050","1995-1999","75-79",176,86831
"10010050","1995-1999","80-84",251,89274
"10010050","2000-2004","40-44",32,100176
"10010050","2000-2004","45-49",10,28924
"10010050","2000-2004","50-54",28,52819
"10010050","2000-2004","55-59",22,31953
"10010050","2000-2004","60-64",18,16767
"10010050","2000-2004","65-69",12,10299
"10010050","2000-2004","70-74",60,30747
"10010050","2000-2004","75-79",329,163564
"10010050","2000-2004","80-84",27,10114
"10010050","2005-2009","40-44",7,32955
"10010050","2005-2009","45-49",2,14467
"10010050","2005-2009","50-54",44,62688
"10010050","2005-2009","55-59",110,128945
"10010050","2005-2009","60-64",16,17301
"10010050","2005-2009","65-69",50,26173
"10010050","2005-2009","70-74",128,71054
"10010050","2005-2009","75-79",45,22891
"10010050","2005-2009","80-84",93,32113
"10010050","2010-2014","40-44",18,52472
"10010050","2010-2014","45-49",13,45035
"10010050","2010-2014","50-54",32,45682
"10010050","2010-2014","55-59",49,70343
"10010050","2010-2014","60-64",57,61297
"10010050","2010-2014","65-69",487,361981
"10010050","2010-2014","70-74",25,10378
"10010050","2010-2014","75-79",69,26858
"10010050","2010-2014","80-84",23,7571
"10010050","2015-2019","40-44",4,12440
"10010050","2015-2019","45-49",10,30749
"10010050","2015-2019","50-54",37,72456
"10010050","2015-2019","55-59",16,24740
"10010050","2015-2019","60-64",29,23081
"10010050","2015-2019","65-69",92,62744
"10010050","2015-2019","70-74",93,46298
"10010050","2015-2019","75-79",37,13466
"10010050","2015-2019","80-84",65,20797
"10010060","1995-1999","40-44",18,47804
"10010060","1995-1999","45-49",24,53734
"10010060","1995-1999","50-54",4,6965
"10010060","1995-1999","55-59",14,21460
"10010060","1995-1999","60-64",25,23706
"10010060","1995-1999","65-69",84,59761
"10010060","1995-1999","70-74",12,7651
"10010060","1995-1999","75-79",133,67337
"10010060","1995-1999","80-84",69,23983
"10010060","2000-2004","40-44",16,54146
"10010060","2000-2004","45-49",7,19153
"10010060","2000-2004","50-54",53,96138
"10010060","2000-2004","55-59",4,7245
"10010060","2000-2004","60-64",115,110942
"10010060","2000-2004","65-69",79,75705
"10010060","2000-2004","70-74",42,23846
"10010060","2000-2004","75-79",88,47239
"10010060","2000-2004","80-84",102,35423
"10010060","2005-2009","40-44",12,52245
"10010060","2005-2009","45-49",53,121367
"10010060","2005-2009","50-54",3,14210
"10010060","2005-2009","55-59",48,55355
"10010060","2005-2009","60-64",59,45015
"10010060","2005-2009","65-69",68,64545
"10010060","2005-2009","70-74",56,37790
"10010060","2005-2009","75-79",33,18128
"10010060","2005-2009","80-84",154,61929
"10010060","2010-2014","40-44",7,29059
"10010060","2010-2014","45-49",9,34336
"10010060","2010-2014","50-54",63,117623
"10010060","2010-2014","55-59",18,22254
"10010060","2010-2014","60-64",10,16114
"10010060","2010-2014","65-69",12,11479
"10010060","2010-2014","70-74",21,16983
"10010060","2010-2014","75-79",37,15804
"10010060","2010-2014","80-84",52,21201
"10010060","2015-2019","40-44",51,159821
"10010060","2015-2019","45-49",7,12999
"10010060","2015-2019","50-54",36,92337
"10010060","2015-2019","55-59",17,26852
"10010060","2015-2019","60-64",27,32042
"10010060","2015-2019","65-69",139,101031
"10010060","2015-2019","70-74",15,6963
"10010060","2015-2019","75-79",40,27503
"10010060","2015-2019","80-84",124,44177
"10010070","1995-1999","40-44",6,15830
"10010070","1995-1999","45-49",77,161999
"10010070","1995-1999","50-54",32,58639
"10010070","1995-1999","55-59",6,11149
"10010070","1995-1999","60-64",51,55531
"10010070","1995-1999","65-69",258,233498
"10010070","1995-1999","70-74",106,68811
"10010070","1995-1999","75-79",587,287467
"10010070","1995-1999","80-84",10,5220
"10010070","2000-2004","40-44",17,48333
"10010070","2000-2004","45-49",4,13320
"10010070","2000-2004","50-54",29,46393
"10010070","2000-2004","55-59",8,9647
"10010070","2000-2004","60-64",77,78732
"10010070","2000-2004","65-69",63,54558
"10010070","2000-2004","70-74",77,52052
"10010070","2000-2004","75-79",134,63055
"10010070","2000-2004","80-84",32,14140
"10010070","2005-2009","40-44",9,32860
"10010070","2005-2009","45-49",54,102644
"10010070","2005-2009","50-54",5,19968
"10010070","2005-2009","55-59",10,13766
"10010070","2005-2009","60-64",62,51859
"10010070","2005-2009","65-69",16,9166
"10010070","2005-2009","70-74",52,32106
"10010070","2005-2009","75-79",265,117960
"10010070","2005-2009","80-84",75,27870
"10010070","2010-2014","40-44",8,24807
"10010070","2010-2014","45-49",25,65065
"10010070","2010-2014","50-54",38,71218
"10010070","2010-2014","55-59",42,46393
"10010070","2010-2014","60-64",54,43744
"10010070","2010-2014","65-69",34,25072
"10010070","2010-2014","70-74",57,33496
"10010070","2010-2014","75-79",157,88348
"10010070","2010-2014","80-84",160,63407
"10010070","2015-2019","40-44",8,37476
"10010070","2015-2019","45-49",5,20798
"10010070","2015-2019","50-54",11,26352
"10010070","2015-2019","55-59",58,77233
"10010070","2015-2019","60-64",17,15029
"10010070","2015-2019","65-69",115,73363
"10010070","2015-2019","70-74",41,23668
"10010070","2015-2019","75-79",165,80731
"10010070","2015-2019","80-84",115,40887
"10010080","1995-1999","40-44",19,59632
"10010080","1995-1999","45-49",11,16556
"10010080","1995-1999","50-54",10,16555
"10010080","1995-1999","55-59",87,107230
"10010080","1995-1999","60-64",26,26347
"10010080","1995-1999","65-69",28,29581
"10010080","1995-1999","70-74",297,221501
"10010080","1995-1999","75-79",270,141723
"10010080","1995-1999","80-84",133,56054
"10010080","2000-2004","40-44",19,46908
"10010080","2000-2004","45-49",12,32383
"10010080","2000-2004","50-54",45,79994
"10010080","2000-2004","55-59",39,46811
"10010080","2000-2004","60-64",42,46721
"10010080","2000-2004","65-69",61,47816
"10010080","2000-2004","70-74",43,31516
"10010080","2000-2004","75-79",253,132141
"10010080","2000-2004","80-84",100,47321
"10010080","2005-2009","40-44",3,14847
"10010080","2005-2009","45-49",52,103261
"10010080","2005-2009","50-54",21,41148
"10010080","2005-2009","55-59",94,111657
"10010080","2005-2009","60-64",139,135739
"10010080","2005-2009","65-69",125,95466
"10010080","2005-2009","70-74",77,52179
"10010080","2005-2009","75-79",76,37863
"10010080","2005-2009","80-84",64,26341
"10010080","2010-2014","40-44",9,16248
"10010080","2010-2014","45-49",26,57992
"10010080","2010-2014","50-54",31,50235
"10010080","2010-2014","55-59",15,18843
"10010080","2010-2014","60-64",67,53856
"10010080","2010-2014","65-69",24,13954
"10010080","2010-2014","70-74",55,33893
"10010080","2010-2014","75-79",119,57686
"10010080","2010-2014","80-84",241,97803
"10010080","2015-2019","40-44",9,18046
"10010080","2015-2019","45-49",8,14498
"10010080","2015-2019","50-54",44,57725
"10010080","2015-2019","55-59",69,74339
"10010080","2015-2019","60-64",93,84221
"10010080","2015-2019","65-69",57,37884
"10010080","2015-2019","70-74",17,13509
"10010080","2015-2019","75-79",38,16330
"10010080","2015-2019","80-84",502,175884
"10010090","1995-1999","40-44",17,32698
"10010090","1995-1999","45-49",13,27038
"10010090","1995-1999","50-54",31,51278
"10010090","1995-1999","55-59",11,20291
"10010090","1995-1999","60-64",35,43739
"10010090","1995-1999","65-69",17,24294
"10010090","1995-1999","70-74",50,36346
"10010090","1995-1999","75-79",26,15525
"10010090","1995-1999","80-84",178,69460
"10010090","2000-2004","40-44",46,101480
"10010090","2000-2004","45-49",52,102295
"10010090","2000-2004","50-54",30,41682
"10010090","2000-2004","55-59",8,10351
"10010090","2000-2004","60-64",33,36954
"10010090","2000-2004","65-69",63,62759
"10010090","2000-2004","70-74",66,47774
"10010090","2000-2004","75-79",85,56353
"10010090","2000-2004","80-84",164,60825
"10010090","2005-2009","40-44",2,22611
"10010090","2005-2009","45-49",32,62736
"10010090","2005-2009","50-54",69,75379
"10010090","2005-2009","55-59",37,46573
"10010090","2005-2009","60-64",14,7950
"10010090","2005-2009","65-69",61,39578
"10010090","2005-2009","70-74",84,52911
"10010090","2005-2009","75-79",41,16053
"10010090","2005-2009","80-84",27,14676
"10010090","2010-2014","40-44",15,45387
"10010090","2010-2014","45-49",15,32702
"10010090","2010-2014","50-54",6,7595
"10010090","2010-2014","55-59",24,24443
"10010090","2010-2014","60-64",39,34781
"10010090","2010-2014","65-69",159,104496
"10010090","2010-2014","70-74",78,45310
"10010090","2010-2014","75-79",59,31253
"10010090","2010-2014","80-84",166,63512
"10010090","2015-2019","40-44",5,16218
"10010090","2015-2019","45-49",3,8399
"10010090","2015-2019","50-54",10,21882
"10010090","2015-2019","55-59",36,50100
"10010090","2015-2019","60-64",69,72548
"10010090","2015-2019","65-69",103,73960
"10010090","2015-2019","70-74",28,16646
"10010090","2015-2019","75-79",112,46271
"10010090","2015-2019","80-84",59,21286
"10010100","1995-1999","40-44",139,266048
"10010100","1995-1999","45-49",21,34416
"10010100","1995-1999","50-54",32,32961
"10010100","1995-1999","55-59",8,5879
"10010100","1995-1999","60-64",61,57779
"10010100","1995-1999","65-69",17,12857
"10010100","1995-1999","70-74",128,79399
"10010100","1995-1999","75-79",22,9642
"10010100","1995-1999","80-84",127,46264
"10010100","2000-2004","40-44",40,71067
"10010100","2000-2004","45-49",45,52305
"10010100","2000-2004","50-54",10,12111
"10010100","2000-2004","55-59",15,13212
"10010100","2000-2004","60-64",76,54007
"10010100","2000-2004","65-69",53,33077
"10010100","2000-2004","70-74",20,15026
"10010100","2000-2004","75-79",25,13056
"10010100","2000-2004","80-84",261,102188
"10010100","2005-2009","40-44",12,11229
"10010100","2005-2009","45-49",73,89018
"10010100","2005-2009","50-54",7,12261
"10010100","2005-2009","55-59",83,66527
"10010100","2005-2009","60-64",277,188563
"10010100","2005-2009","65-69",29,24112
"10010100","2005-2009","70-74",10,5227
"10010100","2005-2009","75-79",175,80676
"10010100","2005-2009","80-84",175,68577
"10010100","2010-2014","40-44",5,9393
"10010100","2010-2014","45-49",8,12619
"10010100","2010-2014","50-54",21,16588
"10010100","2010-2014","55-59",17,7159
"10010100","2010-2014","60-64",12,7615
"10010100","2010-2014","65-69",36,20662
"10010100","2010-2014","70-74",55,32542
"10010100","2010-2014","75-79",53,21614
"10010100","2010-2014","80-84",513,173935
"10010100","2015-2019","40-44",28,67950
"10010100","2015-2019","45-49",64,68313
"10010100","2015-2019","50-54",23,26907
"10010100","2015-2019","55-59",59,39301
"10010100","2015-2019","60-64",56,30221
"10010100","2015-2019","65-69",75,34740
"10010100","2015-2019","70-74",28,11335
"10010100","2015-2019","75-79",42,12058
"10010100","2015-2019","80-84",294,76523
"10010110","1995-1999","40-44",17,31643
"10010110","1995-1999","45-49",9,19786
"10010110","1995-1999","50-54",29,30333
"10010110","1995-1999","55-59",31,25607
"10010110","1995-1999","60-64",23,25878
"10010110","1995-1999","65-69",24,25637
"10010110","1995-1999","70-74",167,110102
"10010110","1995-1999","75-79",10,5366
"10010110","1995-1999","80-84",10,4181
"10010110","2000-2004","40-44",45,88592
"10010110","2000-2004","45-49",17,26289
"10010110","2000-2004","50-54",70,74835
"10010110","2000-2004","55-59",77,63642
"10010110","2000-2004","60-64",23,18002
"10010110","2000-2004","65-69",17,15583
"10010110","2000-2004","70-74",47,24821
"10010110","2000-2004","75-79",85,43530
"10010110","2000-2004","80-84",338,150290
"10010110","2005-2009","40-44",14,10710
"10010110","2005-2009","45-49",17,28546
"10010110","2005-2009","50-54",16,25080
"10010110","2005-2009","55-59",36,29576
"10010110","2005-2009","60-64",14,12160
"10010110","2005-2009","65-69",59,31215
"10010110","2005-2009","70-74",11,11249
"10010110","2005-2009","75-79",63,35284
"10010110","2005-2009","80-84",419,155944
"10010110","2010-2014","40-44",47,93802
"10010110","2010-2014","45-49",41,48206
"10010110","2010-2014","50-54",23,32425
"10010110","2010-2014","55-59",83,64322
"10010110","2010-2014","60-64",111,71088
"10010110","2010-2014","65-69",43,16809
"10010110","2010-2014","70-74",192,95241
"10010110","2010-2014","75-79",15,7505
"10010110","2010-2014","80-84",296,109519
"10010110","2015-2019","40-44",1,3736
"10010110","2015-2019","45-49",12,15820
"10010110","2015-2019","50-54",42,34354
"10010110","2015-2019","55-59",26,21768
"10010110","2015-2019","60-64",124,86937
"10010110","2015-2019","65-69",176,83722
"10010110","2015-2019","70-74",144,56935
"10010110","2015-2019","75-79",604,193970
"10010110","2015-2019","80-84",25,6872
"10010120","1995-1999","40-44",62,114081
"10010120","1995-1999","45-49",62,99024
"10010120","1995-1999","50-54",24,30030
"10010120","1995-1999","55-59",43,39080
"10010120","1995-1999","60-64",30,27751
"10010120","1995-1999","65-69",30,19704
"10010120","1995-1999","70-74",117,83139
"10010120","1995-1999","75-79",38,16504
"10010120","1995-1999","80-84",288,108173
"10010120","2000-2004","40-44",38,64907
"10010120","2000-2004","45-49",37,58892
"10010120","2000-2004","50-54",33,43515
"10010120","2000-2004","55-59",9,9153
"10010120","2000-2004","60-64",138,123328
"10010120","2000-2004","65-69",215,134971
"10010120","2000-2004","70-74",102,54368
"10010120","2000-2004","75-79",125,54840
"10010120","2000-2004","80-84",251,86404
"10010120","2005-2009","40-44",37,101247
"10010120","2005-2009","45-49",27,51199
"10010120","2005-2009","50-54",46,45603
"10010120","2005-2009","55-59",27,32354
"10010120","2005-2009","60-64",95,67246
"10010120","2005-2009","65-69",47,31731
"10010120","2005-2009","70-74",24,9442
"10010120","2005-2009","75-79",637,293467
"10010120","2005-2009","80-84",328,117097
"10010120","2010-2014","40-44",9,34675
"10010120","2010-2014","45-49",14,24572
"10010120","2010-2014","50-54",67,83380
"10010120","2010-2014","55-59",15,9223
"10010120","2010-2014","60-64",26,20816
"10010120","2010-2014","65-69",48,32220
"10010120","2010-2014","70-74",39,17874
"10010120","2010-2014","75-79",63,24967
"10010120","2010-2014","80-84",69,21122
"10010120","2015-2019","40-44",34,129350
"10010120","2015-2019","45-49",16,35585
"10010120","2015-2019","50-54",21,48283
"10010120","2015-2019","55-59",32,35574
"10010120","2015-2019","60-64",235,164358
